driverId,driver_name,avg_grid,avg_finish,avg_pit_stop,total_races,wins,podiums,dnfs,avg_quali,win_rate,podium_rate,dnf_rate
818,Jean-Éric Vergne,11.736842105263158,12.947368421052632,45335.66666666667,19,0,0,5,11.263157894736842,0.0,0.0,26.31578947368421
820,Max Chilton,19.5,17.125,49089.0625,16,0,0,3,19.6875,0.0,0.0,18.75
821,Esteban Gutiérrez,14.775,15.5,64627.9875,40,0,0,12,14.725,0.0,0.0,30.0
822,Valtteri Bottas,7.276315789473684,8.513157894736842,92532.42821637426,228,10,67,28,7.241228070175438,4.385964912280701,29.385964912280706,12.280701754385964
824,Jules Bianchi,17.8,16.466666666666665,52041.12333333333,15,0,0,4,18.2,0.0,0.0,26.666666666666668
825,Kevin Magnussen,12.93010752688172,13.56989247311828,54963.772939068105,186,0,1,37,13.505376344086022,0.0,0.5376344086021506,19.892473118279568
826,Daniil Kvyat,11.919642857142858,12.223214285714286,53759.79032738095,112,0,3,24,11.919642857142858,0.0,2.6785714285714284,21.428571428571427
827,André Lotterer,21.0,22.0,24248.75,1,0,0,1,21.0,0.0,0.0,100.0
828,Marcus Ericsson,16.876288659793815,14.958762886597938,36431.66065292096,97,0,0,24,17.463917525773194,0.0,0.0,24.742268041237114
829,Will Stevens,16.789473684210527,16.63157894736842,27286.265789473684,19,0,0,3,17.894736842105264,0.0,0.0,15.789473684210526
830,Max Verstappen,4.956937799043062,5.645933014354067,77943.23620414673,209,63,112,32,4.7272727272727275,30.14354066985646,53.588516746411486,15.311004784688995
831,Felipe Nasr,15.9,14.15,96364.57875000002,40,0,0,7,16.85,0.0,0.0,17.5
832,Carlos Sainz,8.58173076923077,9.274038461538462,97177.15256410257,208,4,27,40,8.567307692307692,1.9230769230769231,12.980769230769232,19.230769230769234
833,Roberto Merhi,18.23076923076923,15.692307692307692,26601.45641025641,13,0,0,1,19.384615384615383,0.0,0.0,7.6923076923076925
834,Alexander Rossi,17.8,15.4,28151.033333333333,5,0,0,0,18.8,0.0,0.0,0.0
835,Jolyon Palmer,16.324324324324323,15.27027027027027,45980.2990990991,37,0,0,11,16.324324324324323,0.0,0.0,29.72972972972973
836,Pascal Wehrlein,17.384615384615383,16.128205128205128,71537.35042735042,39,0,0,8,18.28205128205128,0.0,0.0,20.51282051282051
837,Rio Haryanto,19.833333333333332,18.666666666666668,26127.11805555556,12,0,0,3,20.166666666666668,0.0,0.0,25.0
838,Stoffel Vandoorne,15.19047619047619,13.19047619047619,32978.24523809524,42,0,0,9,15.071428571428571,0.0,0.0,21.428571428571427
839,Esteban Ocon,11.205128205128204,11.224358974358974,107662.95811965813,156,1,4,25,11.66025641025641,0.641025641025641,2.564102564102564,16.025641025641026
840,Lance Stroll,13.154761904761905,12.369047619047619,89245.94026360544,168,0,3,31,14.023809523809524,0.0,1.7857142857142856,18.452380952380953
841,Antonio Giovinazzi,14.370967741935484,13.85483870967742,91722.71155913979,62,0,0,7,14.612903225806452,0.0,0.0,11.29032258064516
